City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Axim,GH,78.6,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
7,Rikitea,PF,73.13,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
10,Pochutla,MX,82.22,light rain,15.7432,-96.4661,Hotel El Patio
13,Port Blair,IN,80.33,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
14,Souillac,MU,70.18,light rain,-20.5167,57.5167,Hotel SkylineInn
16,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Pono Kai Resort
20,Pemba,MZ,77.05,light rain,-12.974,40.5178,Hotel Rafael
29,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le Baril
32,Vaini,TO,82.56,light intensity shower rain,-21.2,-175.2,Keleti International Resort
33,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,Hotel del Valle
34,Atuona,PF,77.95,light rain,-9.8,-139.0333,Pearl Resort
37,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
44,Hirara,JP,72.37,overcast clouds,24.8,125.2833,古謝そば屋
45,Hilo,US,87.28,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
50,Moron,AR,73.15,overcast clouds,-34.6534,-58.6198,La Esquina
56,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Bonnie's Arch
60,Bengkulu,ID,75.4,light rain,-3.8004,102.2655,Dena Hotel
67,Muisne,EC,75.52,broken clouds,0.6,-80.0333,Hostal Té de Menta
68,Faanui,PF,80.51,few clouds,-16.4833,-151.75,Oa Oa Lodge
69,Sinnamary,GF,76.66,broken clouds,5.3833,-52.95,Hôtel du fleuve
71,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,The Adventures Inn
72,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Grand Bel Air
75,Benemerito De Las Americas,MX,71.56,scattered clouds,16.5167,-90.6439,hotel
