City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhangye,CN,38.9342,100.4517,14.43,50,7,5.66,clear sky
1,Lompoc,US,34.6391,-120.4579,60.01,79,100,6.91,overcast clouds
2,Launceston,AU,-41.45,147.1667,66.61,57,100,12.66,overcast clouds
3,Cartersville,US,34.1651,-84.7999,49.15,46,0,3.0,clear sky
4,Mataura,NZ,-46.1927,168.8643,50.49,80,77,9.78,broken clouds
5,Axim,GH,4.8699,-2.2405,78.6,83,87,5.21,overcast clouds
6,Port Elizabeth,ZA,-33.918,25.5701,65.1,92,38,5.99,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,73.13,71,82,12.88,broken clouds
8,Barrow,US,71.2906,-156.7887,28.42,93,100,9.22,mist
9,Boma,GH,7.0805,-2.1697,72.46,92,94,2.51,overcast clouds
10,Pochutla,MX,15.7432,-96.4661,82.22,83,33,1.52,light rain
11,Qaanaaq,GL,77.484,-69.3632,-23.01,80,16,3.91,few clouds
12,East London,ZA,-33.0153,27.9116,70.83,92,100,3.33,overcast clouds
13,Port Blair,IN,11.6667,92.75,80.33,84,93,6.4,overcast clouds
14,Souillac,MU,-20.5167,57.5167,70.18,88,40,4.61,light rain
15,New Norfolk,AU,-42.7826,147.0587,58.71,38,7,2.68,clear sky
16,Kapaa,US,22.0752,-159.319,84.18,73,95,5.01,overcast clouds
17,Eureka,US,40.8021,-124.1637,53.62,78,100,10.0,moderate rain
18,Boddam,GB,57.4667,-1.7833,43.48,80,98,22.64,overcast clouds
19,Butaritari,KI,3.0707,172.7902,81.32,76,21,12.46,light rain
20,Pemba,MZ,-12.974,40.5178,77.05,78,8,8.41,light rain
21,Ilulissat,GL,69.2167,-51.1,23.02,80,100,27.63,light snow
22,Bredasdorp,ZA,-34.5322,20.0403,62.94,80,76,2.68,broken clouds
23,Busselton,AU,-33.65,115.3333,64.76,72,100,8.66,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,41.83,85,72,8.66,broken clouds
25,Saint-Augustin,CA,51.226,-58.6502,4.05,94,87,1.48,overcast clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,2.91,96,100,6.29,light snow
27,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,86,37,4.43,scattered clouds
